Operation time,Airline,Flight Num,Departure Airport,Arrival Airport ,Terminal,Departure / Arrival ,Origin Date,CodeContext
2021-12-29 16:49:00,AH,1011,ORY,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 18:30:00,AH,2014,ALG,BCN,4,Departure,2021-12-29,OFB
2021-12-29 12:09:00,LH,1316,FRA,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 13:25:00,LH,1317,ALG,FRA,4,Departure,2021-12-29,OFB
2021-12-29 10:03:00,5O,1051,CDG,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 11:20:00,5O,1052,ALG,CDG,4,Departure,2021-12-29,OFB
2021-12-29 8:14:00,AH,2701,YUL,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 10:45:00,AH,6288,ALG,TMR,1,Departure,2021-12-29,OFB
2021-12-29 12:33:00,AF,4144,CDG,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 14:55:00,AF,4145,ALG,CDG,4,Departure,2021-12-29,OFB
2021-12-29 13:23:00,QR,1379,DOH,ALG,1,Arrival,2021-12-29,ONB
2021-12-29 15:10:00,QR,1380,ALG,DOH,1,Departure,2021-12-29,OFB
2021-12-29 14:48:00,TK,651,IST,ALG,1,Arrival,2021-12-29,ONB
2021-12-29 16:55:00,TK,652,ALG,IST,1,Departure,2021-12-29,OFB
2021-12-29 16:57:00,TO,4540,MPL,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 18:20:00,TO,4541,ALG,MPL,4,Departure,2021-12-29,OFB
2021-12-29 22:03:00,AH,2015,BCN,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 20:52:00,AH,4003,TUN,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 18:35:00,AH,6006,ALG,AAE,1,Departure,2021-12-29,OFB
2021-12-29 19:50:00,AH,6195,CZL,ALG,1,Arrival,2021-12-29,ONB
2021-12-29 20:15:00,AH,6106,ALG,ORN,1,Departure,2021-12-29,OFB
2021-12-29 17:55:00,AH,6183,ORN,ALG,1,Arrival,2021-12-29,ONB
2021-12-30 8:15:00,TO,4680,NTE,ALG,0,Arrival,2021-12-30,DX
2021-12-30 9:15:00,TO,4681,ALG,NTE,0,Departure,2021-12-30,DX
2021-12-30 8:48:00,TO,4080,ORY,ALG,4,Arrival,2021-12-30,ONB
2021-12-30 10:05:00,TO,4081,ALG,ORY,4,Departure,2021-12-30,OFB
2021-12-30 10:25:00,AF,1554,CDG,ALG,4,Arrival,2021-12-30,SCT
2021-12-30 11:00:00,AF,1555,ALG,CDG,4,Departure,2021-12-30,OFB
2021-12-29 18:27:00,AH,3017,IST,ALG,4,Arrival,2021-12-29,ONB
2021-12-29 19:15:00,AH,6026,ALG,CZL,1,Departure,2021-12-29,OFB
2021-12-29 17:40:00,AH,6217,OGX,ALG,1,Arrival,2021-12-29,ONB
2021-12-30 12:35:00,VY,7476,BCN,ALG,4,Arrival,2021-12-30,ONB
2021-12-30 13:30:00,VY,7477,ALG,BCN,4,Departure,2021-12-30,OFB
2021-12-30 10:10:00,5O,1051,CDG,ALG,4,Arrival,2021-12-30,ONB
2021-12-30 11:20:00,5O,1052,ALG,CDG,4,Departure,2021-12-30,SCT
