airline,route,airline_route,is_domestic,total_flights,Cancelled,Delayed,OnTime,ontime_rate,delayed_rate,cancelled_rate,cluster
5O,ALG-CDG,5O_ALG-CDG,False,1208,32,71,1105,91.47350993377484,5.877483443708609,2.6490066225165565,1
5O,ALG-LIL,5O_ALG-LIL,False,273,3,9,261,95.6043956043956,3.296703296703297,1.098901098901099,0
5O,ALG-LYS,5O_ALG-LYS,False,454,7,7,440,96.91629955947137,1.5418502202643172,1.5418502202643172,0
5O,ALG-MLH,5O_ALG-MLH,False,89,1,3,85,95.50561797752809,3.3707865168539324,1.1235955056179776,0
5O,CDG-ALG,5O_CDG-ALG,False,1196,27,14,1155,96.57190635451505,1.1705685618729096,2.25752508361204,0
5O,LIL-ALG,5O_LIL-ALG,False,257,3,2,252,98.0544747081712,0.7782101167315175,1.1673151750972763,0
5O,LYS-ALG,5O_LYS-ALG,False,459,10,7,442,96.29629629629629,1.5250544662309369,2.178649237472767,0
5O,MLH-ALG,5O_MLH-ALG,False,92,2,2,88,95.65217391304348,2.1739130434782608,2.1739130434782608,0
AC,ALG-YUL,AC_ALG-YUL,False,134,10,7,117,87.31343283582089,5.223880597014925,7.462686567164178,1
AC,YUL-ALG,AC_YUL-ALG,False,123,8,3,112,91.05691056910568,2.4390243902439024,6.504065040650407,1
AF,ALG-CDG,AF_ALG-CDG,False,2281,71,17,2193,96.14204296361245,0.7452871547566856,3.1126698816308638,0
AF,ALG-MRS,AF_ALG-MRS,False,266,10,3,253,95.11278195488721,1.1278195488721803,3.7593984962406015,0
AF,ALG-ORY,AF_ALG-ORY,False,1194,107,4,1083,90.7035175879397,0.33500837520938026,8.961474036850921,1
AF,ALG-TLS,AF_ALG-TLS,False,131,7,0,124,94.65648854961832,0.0,5.343511450381679,0
AF,CDG-ALG,AF_CDG-ALG,False,2292,71,82,2139,93.32460732984293,3.5776614310645725,3.0977312390924956,0
AF,MRS-ALG,AF_MRS-ALG,False,265,10,1,254,95.84905660377359,0.37735849056603776,3.7735849056603774,0
AF,NCE-ALG,AF_NCE-ALG,False,31,0,4,27,87.09677419354838,12.903225806451612,0.0,1
AF,ORY-ALG,AF_ORY-ALG,False,1195,103,12,1080,90.3765690376569,1.00418410041841,8.619246861924685,1
AF,TLS-ALG,AF_TLS-ALG,False,132,6,1,125,94.6969696969697,0.7575757575757576,4.545454545454546,0
AH,AAE-ALG,AH_AAE-ALG,False,2812,21,116,2675,95.1280227596017,4.125177809388336,0.7467994310099573,0
AH,ABJ-ALG,AH_ABJ-ALG,False,185,4,0,181,97.83783783783784,0.0,2.1621621621621623,0
AH,ALC-ALG,AH_ALC-ALG,True,135,1,13,121,89.62962962962962,9.62962962962963,0.7407407407407408,1
AH,ALG-AAE,AH_ALG-AAE,False,2843,26,54,2763,97.18607105170595,1.8994020400984875,0.9145269081955681,0
AH,ALG-ABJ,AH_ALG-ABJ,False,178,7,16,155,87.07865168539325,8.98876404494382,3.932584269662921,1
AH,ALG-ALC,AH_ALG-ALC,True,137,1,15,121,88.32116788321169,10.948905109489052,0.7299270072992701,1
AH,ALG-AMM,AH_ALG-AMM,False,111,11,4,96,86.48648648648648,3.6036036036036037,9.90990990990991,1
AH,ALG-AYT,AH_ALG-AYT,False,158,0,7,151,95.56962025316456,4.430379746835443,0.0,0
AH,ALG-AZR,AH_ALG-AZR,False,1490,15,55,1420,95.30201342281879,3.691275167785235,1.006711409395973,0
AH,ALG-BCN,AH_ALG-BCN,False,630,0,16,614,97.46031746031746,2.5396825396825395,0.0,0
AH,ALG-BEY,AH_ALG-BEY,False,84,9,1,74,88.09523809523809,1.1904761904761905,10.714285714285714,1
AH,ALG-BJA,AH_ALG-BJA,False,547,9,11,527,96.3436928702011,2.010968921389397,1.6453382084095063,0
AH,ALG-BKO,AH_ALG-BKO,False,286,24,11,251,87.76223776223776,3.8461538461538463,8.391608391608392,1
AH,ALG-BLJ,AH_ALG-BLJ,False,626,12,10,604,96.48562300319489,1.5974440894568689,1.9169329073482428,0
AH,ALG-BMW,AH_ALG-BMW,False,51,0,2,49,96.07843137254902,3.9215686274509802,0.0,0
AH,ALG-BOD,AH_ALG-BOD,False,231,1,6,224,96.96969696969697,2.5974025974025974,0.4329004329004329,0
AH,ALG-BRU,AH_ALG-BRU,False,304,1,7,296,97.36842105263158,2.302631578947368,0.3289473684210526,0
AH,ALG-BSK,AH_ALG-BSK,False,854,22,9,823,96.37002341920375,1.053864168618267,2.576112412177986,0
AH,ALG-CAI,AH_ALG-CAI,False,441,6,18,417,94.5578231292517,4.081632653061225,1.3605442176870748,0
AH,ALG-CBH,AH_ALG-CBH,False,720,10,26,684,95.0,3.6111111111111107,1.3888888888888888,0
AH,ALG-CDG,AH_ALG-CDG,False,3445,115,78,3252,94.39767779390421,2.2641509433962264,3.3381712626995643,0
AH,ALG-CTU,AH_ALG-CTU,False,56,9,0,47,83.92857142857143,0.0,16.071428571428573,1
AH,ALG-CZL,AH_ALG-CZL,False,3395,34,90,3271,96.34756995581738,2.6509572901325478,1.0014727540500736,0
