operationtime,airline,flightnum,departureairport,arrivalairport,terminal,departure/arrival,origindate,codecontext,status_text,date,hour,weekday,is_weekend,route,status_group
2021-12-29 16:49:00,AH,1011,ORY,ALG,4,Arrival,2021-12-29,ONB,Arrived,2021-12-29,16,2,False,ORY-ALG,Arrived
2021-12-29 18:30:00,AH,2014,ALG,BCN,4,Departure,2021-12-29,OFB,Departed,2021-12-29,18,2,False,ALG-BCN,Departed
2021-12-29 12:09:00,LH,1316,FRA,ALG,4,Arrival,2021-12-29,ONB,Arrived,2021-12-29,12,2,False,FRA-ALG,Arrived
2021-12-29 13:25:00,LH,1317,ALG,FRA,4,Departure,2021-12-29,OFB,Departed,2021-12-29,13,2,False,ALG-FRA,Departed
2021-12-29 10:03:00,5O,1051,CDG,ALG,4,Arrival,2021-12-29,ONB,Arrived,2021-12-29,10,2,False,CDG-ALG,Arrived
2021-12-29 11:20:00,5O,1052,ALG,CDG,4,Departure,2021-12-29,OFB,Departed,2021-12-29,11,2,False,ALG-CDG,Departed
2021-12-29 08:14:00,AH,2701,YUL,ALG,4,Arrival,2021-12-29,ONB,Arrived,2021-12-29,8,2,False,YUL-ALG,Arrived
2021-12-29 10:45:00,AH,6288,ALG,TMR,1,Departure,2021-12-29,OFB,Departed,2021-12-29,10,2,False,ALG-TMR,Departed
2021-12-29 12:33:00,AF,4144,CDG,ALG,4,Arrival,2021-12-29,ONB,Arrived,2021-12-29,12,2,False,CDG-ALG,Arrived
2021-12-29 14:55:00,AF,4145,ALG,CDG,4,Departure,2021-12-29,OFB,Departed,2021-12-29,14,2,False,ALG-CDG,Departed
2021-12-29 13:23:00,QR,1379,DOH,ALG,1,Arrival,2021-12-29,ONB,Arrived,2021-12-29,13,2,False,DOH-ALG,Arrived
2021-12-29 15:10:00,QR,1380,ALG,DOH,1,Departure,2021-12-29,OFB,Departed,2021-12-29,15,2,False,ALG-DOH,Departed
